dimensionID,dimension,unitCode,unitISOCode,name,descr
NODMNSN,(no dimensions),DZN,( 2 )
NODMNSN,(no dimensions),EE,( EU )
NODMNSN,(no dimensions),TOZ,TOZ,Troy OncesTonne ( Toz )
NODMNSN,(no dimensions),TOT,TOT,Troy Oz / Tonne ( Tot )
NODMNSN,(no dimensions),VAL,VAL,Value-only material ( val )
NODMNSN,(no dimensions),EA,EA,each (ST) ( ST )
NODMNSN,(no dimensions),G/L,G/L,gram act.ingrd / liter ( gai/l )
NODMNSN,(no dimensions),KWK,KWK,kg act.ingrd. / kg ( kai/kg )
ACCEL,Acceleration,MS2,MSK,Meter/second squared ( m/s2 )
ACBAC,Acid/Base capacity,V02,C36,Millimol per liter ( mMol/l )
ACBAC,Acid/Base capacity,C36,C36,Mol per cubic meter ( mol/m3 )
ACBAC,Acid/Base capacity,C38,C38,Mol per liter ( Mol/l )
SURFAC,Area,PTS,PTS,( 9 )
SURFAC,Area,ACR,ACR,Acre ( acre )
SURFAC,Area,GLM,Gallons per mile (US) ( GPM US )
SURFAC,Area,HAR,HAR,Hectare ( Hectar )
SURFAC,Area,LHK,LHK,Liter per 100 km ( l/hkm )
SURFAC,Area,YD2,YDK,Square Yard ( yd2 )
SURFAC,Area,CM2,CMK,Square centimeter ( cm2 )
SURFAC,Area,FT2,FTK,Square foot ( ft2 )
SURFAC,Area,IN2,INK,Square inch ( Inch2 )
SURFAC,Area,KM2,KMK,Square kilometer ( km2 )
SURFAC,Area,M2,MTK,Square meter ( m2 )
SURFAC,Area,MI2,MIK,Square mile ( Mile2 )
SURFAC,Area,MM2,MMK,Square millimeter ( mm2 )
CONDUC,Conductivity,V01,G42,Microsiemens per centimeter ( µS/cm )
CONDUC,Conductivity,D10,D10,Siemens per meter ( S/m )
DENSI,Density,O19,KMK,( 10 )
DENSI,Density,A93,A93,Gram/Cubic meter ( g/m3 )
DENSI,Density,RHO,23,Gram/cubic centimeter ( g/cm3 )
DENSI,Density,GLI,GL,Gram/liter ( g/l )
DENSI,Density,kgs,Kilogram/Standard Cubic Foot ( kg/scf )
DENSI,Density,kgb,kgb,Kilogram/US Barrel ( kg/bbl )
DENSI,Density,B34,B34,Kilogram/cubic decimeter ( kg/dm3 )
DENSI,Density,KGV,KMQ,Kilogram/cubic meter ( kg/m3 )
DENSI,Density,GQ,GQ,Microgram/cubic meter ( µg/m3 )
DENSI,Density,UGL,H29,Microgram/liter ( µg/l )
DENSI,Density,MGQ,GP,Milligram/cubic meter ( mg/m3 )
DENSI,Density,MGL,M1,Milligram/liter ( mg/l )
DENSI,Density,D41,D41,Ton/Cubic meter ( t/m3 )
DENSI,Density,tm3,Tonne/1000 Cubic Meters ( t/tm3 )
DENSI,Density,tbl,tbl,Tonne/US Barrel ( t/bbl )
DENSI,Density,lbs,87,US Pound/Standard Cubic Foot ( lb/scf )
DENSI,Density,lbg,GE,US Pound/US Gallon ( lb/gal )
DENSI,Density,tgl,tgl,US Tonne/US Gallon ( ton/gl )
STEXKZ,Dust explosion ratio,MBZ,MBZ,Meterbar/second ( m.b_/s )
STEXKZ,Dust explosion ratio,MPZ,MPZ,Meterpascal/second ( m.Pa/s )
VISDYN,Dynamic viscosity,MPS,C24,Millipascal seconds ( mPa.s )
VISDYN,Dynamic viscosity,PAS,C65,Pascal second ( Pas )
RESIST,Elec. Resistance,A87,A87,Gigaohm ( GOhm )
RESIST,Elec. Resistance,KOH,B49,Kiloohm ( kOhm )
RESIST,Elec. Resistance,B75,B75,Megohm ( MOhm )
RESIST,Elec. Resistance,OHM,OHM,Ohm ( Ohm )
ECURR,Electr. Current,A,AMP,Ampere ( A )
ECURR,Electr. Current,KA,B22,Kiloampere ( kA )
ECURR,Electr. Current,B84,B84,Microampere ( µA )
ECURR,Electr. Current,MA,4K,Milliampere ( mA )
ECURR,Electr. Current,C39,C39,Nanoampere ( nA )
VOLTAG,Electr. Tension,KV,KVT,Kilovolt ( kV )
VOLTAG,Electr. Tension,B78,B78,Megavolt ( MV )
VOLTAG,Electr. Tension,MV,2Z,Millivolt ( mV )
VOLTAG,Electr. Tension,V,VLT,Volt ( V )
CAPACI,Electr. capacity,F,FAR,Farad ( F )
CAPACI,Electr. capacity,4O,4O,Microfarad ( µF )
CAPACI,Electr. capacity,C10,C10,Millifarad ( mF )
CAPACI,Electr. capacity,C41,C41,Nanofarad ( nF )
CAPACI,Electr. capacity,4T,4T,Pikofarad ( pF )
ENERGY,Energy,MBT,( 8 )
ENERGY,Energy,GJ,GV,Gigajoule ( GJ )
ENERGY,Energy,J,JOU,Joule ( J )
ENERGY,Energy,KJ,KJO,Kilojoule ( kJ )
ENERGY,Energy,KWH,KWH,Kilowatt hours ( kwh )
ENERGY,Energy,MEJ,3B,Megajoule ( MJ )
ENERGY,Energy,MWH,MWH,Megawatt hour ( MWh )
ENERGY,Energy,MJ,C15,Millijoule ( mJ )
ENERGY,Energy,CAL,3B,kilocalories ( KCAL )
FORCE,Force,B47,B47,Kilonewton ( ND )
FORCE,Force,B73,B73,Meganewton ( MN )
FORCE,Force,N,NEW,Newton ( N )
FREQU,Frequency,PMI,PMI,1/minute ( 1/min )
FREQU,Frequency,BPM,BPM,Bottles per minute ( BPM )
FREQU,Frequency,HZ,HTZ,Hertz (1/second) ( Hz )
FREQU,Frequency,KHZ,KHZ,Kilohertz ( kHz )
FREQU,Frequency,MHZ,MHZ,Megahertz ( MHz )
FREQU,Frequency,RPM,RPM,RPM ( RPM )
THCOND,Heat Conductivity,WMK,D53,Heat Conductivity ( W/mk )
HYDROL,Hydrolysis rate,LMS,LMS,Liter/Molsecond ( l/m_.s )
SURINV,Inverse area,M2I,M2I,1 / square meter ( 1/M2 )
SURINV,Inverse area,MPG,MPG,Miles per gallon (US) ( MPG US )
VISKIN,Kinematic viscosity,M2S,S4,Square meter/second ( m2/s )
VISKIN,Kinematic viscosity,22S,C17,Square millimeter/second ( mm2/s )
LENGTH,Length,CM,CMT,Centimeter ( cm )
LENGTH,Length,DM,DMT,Decimeter ( dm )
LENGTH,Length,FT,FOT,Foot ( Foot )
LENGTH,Length,IN,INH,Inch ( " )
LENGTH,Length,KM,KMT,Kilometer ( km )
LENGTH,Length,M,M,Meter ( m )
LENGTH,Length,MIM,4H,Micrometer ( µm )
LENGTH,Length,MI,SMI,Mile ( mile )
LENGTH,Length,MM,MMT,Millimeter ( mm )
LENGTH,Length,NAM,C45,Nanometer ( nm )
LENGTH,Length,YD,YRD,Yards ( yd )
LIGHT,Luminous intensity,CD,CDL,Candela ( cd )
MAGNFD,Magnet. field dens.,MTE,C29,Millitesla ( mT )
MAGNFD,Magnet. field dens.,TES,D33,Tesla ( D )
MASS,Mass,G,GRM,Gram ( g )
MASS,Mass,ZE,3H,Kilogram ( ZE )
MASS,Mass,KT,KTN,Kilotonne ( kt )
MASS,Mass,MG,MGM,Milligram ( mg )
MASS,Mass,OZ,ONZ,Ounce ( oz )
MASS,Mass,TO,TNE,Tonne ( t )
MASS,Mass,LB,LBR,US pound ( lb )
MASS,Mass,TON,STN,US ton ( ton )
MASS,Mass,KG,KGM,kg ( KG )
MASSBD,Mass coverage,GM2,GM,Gram/square meter ( g/m2 )
MASSBD,Mass coverage,KGF,28,Kilogram/Square meter ( kg/m2 )
MASSBD,Mass coverage,MGF,H63,Milligram/Square centimeter ( mg/cm2 )
MASFLO,Mass flow,KGS,KGS,Kilogram/second ( kg/s )
MAPER,Mass per Energy,kgj,kgj,Kilogram/Joule ( kg/J )
MAPER,Mass per Energy,kgm,Kilogram/Million BTU ( kg/MB )
MAPER,Mass per Energy,tbt,tbt,Tonne/British Thermal Unit ( t/Btu )
MAPER,Mass per Energy,tjl,tjl,Tonne/Joule ( t/Joul )
MAPER,Mass per Energy,ttj,ttj,Tonne/Terajoule ( t/TJ )
MAPER,Mass per Energy,lbb,lbb,US Pound/British Thermal Unit ( lb/Btu )
MAPER,Mass per Energy,lbm,lbm,US Pound/Million BTU ( lb/MB )
MPROPO,Mass proportion,GHG,GHG,Gram/hectogram ( g/hg )
MPROPO,Mass proportion,GKG,GKG,Gram/kilogram ( g/kg )
MPROPO,Mass proportion,KGK,M29,Kilogram/Kilogram ( kg/kg )
MPROPO,Mass proportion,kgt,kgt,Kilogram/US Tonne ( kg/ton )
MPROPO,Mass proportion,MPB,MPB,Mass parts per billion ( ppb(m) )
MPROPO,Mass proportion,MPM,MPM,Mass parts per million ( ppm(m) )
MPROPO,Mass proportion,MPT,MPT,Mass parts per trillion ( ppt(m) )
MPROPO,Mass proportion,MGG,MGG,Milligram/gram ( mg/g )
MPROPO,Mass proportion,MGK,NA,Milligram/kilogram ( mg/kg )
MPROPO,Mass proportion,M%,M%,Percent mass ( %(m) )
MPROPO,Mass proportion,M%O,M%O,Permille mass ( %O(m) )
MPROPO,Mass proportion,tt,tt,Tonne/Tonne ( t/t )
MPROPO,Mass proportion,lbt,lbt,US Pound/US Tonne ( lb/ton )
MOENER,Molar energy,JMO,B15,Joule/Mol ( J/mol )
MOENER,Molar energy,KJM,B44,Kilojoule/Mol ( KJ/mol )
MOLMAS,Mole mass,GM,Gram/Mol ( g/mol )
MOLMAS,Mole mass,kml,kml,Kilogram/Kilogram Mole ( kg/kgm )
MOLMAS,Mole mass,KGM,Kilogram/Mol ( kg/mol )
MOLMAS,Mole mass,lbl,lbl,US Pound/US Pound Mole ( lb/lbm )
MOLQU,Mole quantity,B45,B45,Kilomol ( kmol )
MOLQU,Mole quantity,MMO,C18,Millimol ( mmol )
MOLQU,Mole quantity,MOL,C34,Mol ( mol )
TKONZ,Particle concentrat.,TC3,TC3,1/cubic centimeter ( 1/cm3 )
TKONZ,Particle concentrat.,TM3,1/cubic meter ( 1/m3 )
PERMEA,Permeability,PRM,PRM,Permeation Rate ( ug/c2m )
PERMEA,Permeability,PMR,PMR,Permeation Rate SI ( kg/m2s )
POINTS,Points,P,P,Points ( P )
POWER,Power,KVA,KVA,Kilovoltampere ( kVA )
POWER,Power,KW,KWT,Kilowatt ( KW )
POWER,Power,MVA,MVA,Megavoltampere ( MVA )
POWER,Power,MGW,MAW,Megawatt ( VA )
POWER,Power,MW,C31,Milliwatt ( mW )
POWER,Power,D46,D46,Voltampere ( VAM )
POWER,Power,W,WTT,Watt ( W )
PRESS,Pressure,bft,B0,British Thermal Unit/Cubic Ft ( Bt/ft3 )
PRESS,Pressure,bbl,bbl,British Thermal Unit/US Barrel ( Bt/bbl )
PRESS,Pressure,bgl,bgl,British Thermal Unit/US Gallon ( Bt/gal )
PRESS,Pressure,gj3,gj3,Gigajoule/1000 Cubic Meters ( GJ/tm3 )
PRESS,Pressure,gjm,gjm,Gigajoule/Cubic Meter ( GJ/m3 )
PRESS,Pressure,HPA,A97,Hectopascal ( hPa )
PRESS,Pressure,jm3,JM3,Joule/Cubic Meter ( J/m3 )
PRESS,Pressure,KPA,KPA,Kilopascal ( kPa )
PRESS,Pressure,MPA,MPA,Megapascal ( MPa )
PRESS,Pressure,MBA,MBR,Millibar ( mbar )
PRESS,Pressure,mbb,mbb,Million BTU/US Barrel ( MB/bbl )
PRESS,Pressure,C56,C56,Newton/Square millimeter ( N/mm2 )
PRESS,Pressure,PA,PAL,Pascal ( Pa )
PRESS,Pressure,BAR,BAR,bar ( bar )
PROPOR,Proportion,1,C62,One ( One )
PROPOR,Proportion,PPB,PPB,Parts per billion ( ppb )
PROPOR,Proportion,PPM,59,Parts per million ( ppm )
PROPOR,Proportion,PPT,PPT,Parts per trillion ( ppt )
PROPOR,Proportion,%O,Per mille ( %O )
PROPOR,Proportion,%,P1,Percentage ( % )
TEMPRT,Rate of temp. change,KMN,F11,Kelvin/Minute ( K/min )
TEMPRT,Rate of temp. change,KMS,F12,Kelvin/Second ( K/s )
SPREST,Sp. Elec. Resistance,OCM,C60,Spec. Elec. Resistance ( Ohcm )
SPREST,Sp. Elec. Resistance,OM,C61,Spec. Elec. Resistance ( Ohmm )
SPHCAP,Spec. Heat Capacity,JKK,B11,Spec. Heat Capacity ( J/kgK )
SPAEQU,Spec. equivalent,MMG,H68,Millimol/gram ( mmol/g )
SPAEQU,Spec. equivalent,MMK,D87,Millimol/kilogram ( m_/kg )
SPAEQU,Spec. equivalent,MOK,C19,Mol/kilogram ( mol/kg )
SPARAD,Spec.act.radioac.sub,BQK,A18,Becquerel/kilogram ( Bq/kg )
SPARAD,Spec.act.radioac.sub,KBK,B25,Kilobecquerel/kilogram ( kBq/kg )
SPENER,Specific energy,btl,btl,British Thermal Unit/US Pound ( Btu/lb )
SPENER,Specific energy,gjt,gjt,Gigajoule/US Tonne ( GJ/ton )
SPENER,Specific energy,JKG,JKG,Joule/Kilogram ( J/kg )
SPENER,Specific energy,KJK,KJK,Kilojoule/kilogram ( KJ/kg )
SPENER,Specific energy,mbt,mbt,Million BTU/US Tonne ( MB/ton )
SPEED,Speed,CMH,Centimeter/hour ( cm/h )
SPEED,Speed,2M,2M,Centimeter/second ( cm/s )
SPEED,Speed,KMH,KMH,Kilometer/hour ( km/h )
SPEED,Speed,MTS,X03,Meter/Hour ( m/h )
SPEED,Speed,2X,2X,Meter/Minute ( m/min )
SPEED,Speed,M/S,MTS,Meter/second ( m/s )
SPEED,Speed,MMH,H67,Millimeter/hour ( mm/h )
SPEED,Speed,MMS,C16,Millimeter/second ( mm/s )
SPEED,Speed,MMA,H66,Millimeter/year ( mm/a )
SURFTE,Surface tension,MNM,C22,Millinewton/meter ( mN/m )
SURFTE,Surface tension,NM,4P,Newton/meter ( N/m )
TEMP,Temperature,GC,CEL,Degrees Celsius ( °C )
TEMP,Temperature,FA,FAH,Fahrenheit ( °F )
TEMP,Temperature,K,KEL,Kelvin ( K )
TEST,Test,AA,AA ( AAAAAA )
TIME,Time,TST,( 1 )
TIME,Time,TAG,DAY,Days ( Days )
TIME,Time,10,DAY,Days ( d )
TIME,Time,H,HUR,Hour ( h )
TIME,Time,HR,HR,Hours ( HOU )
TIME,Time,STD,HUR,Hours ( hrs )
TIME,Time,MIS,B98,Microsecond ( µs )
TIME,Time,MS,C26,Millisecond ( ms )
TIME,Time,MIN,MIN,Minute ( min )
TIME,Time,MON,MON,Months ( Months )
TIME,Time,NS,C47,Nanosecond ( ns )
TIME,Time,PS,H70,Picosecond ( ps )
TIME,Time,S,SEC,Second ( s )
TIME,Time,WCH,WEE,Weeks ( Weeks )
TIME,Time,JHR,ANN,Years ( yr )
EVARA,Vaporization Speed,WTL,WTL,Vaporization Speed ( kg/sm2 )
VOLUME,Volume,BB6,( 3 )
VOLUME,Volume,BBL,( 4 )
VOLUME,Volume,BCF,( 5 )
VOLUME,Volume,BUI,( 6 )
VOLUME,Volume,BUU,( 7 )
VOLUME,Volume,CTL,CTL,Centiliter ( Cl )
VOLUME,Volume,CCM,CMQ,Cubic centimeter ( cm3 )
VOLUME,Volume,CDM,DMQ,Cubic decimeter ( dm3 )
VOLUME,Volume,FT3,FTQ,Cubic foot ( ft3 )
VOLUME,Volume,IN3,INQ,Cubic inch ( Inch3 )
VOLUME,Volume,M3,MTQ,Cubic meter ( m3 )
VOLUME,Volume,MMQ,MMQ,Cubic millimeter ( mm3 )
VOLUME,Volume,YD3,YDQ,Cubic yard ( yd3 )
VOLUME,Volume,OZA,OZA,Fluid Ounce US ( foz US )
VOLUME,Volume,HL,HLT,Hectoliter ( hl )
VOLUME,Volume,L,LTR,Liter ( l )
VOLUME,Volume,4G,4G,Microliter ( µl )
VOLUME,Volume,ML,MLT,Milliliter ( ml )
VOLUME,Volume,PT,PT,Pint, US liquid ( pt US )
VOLUME,Volume,QT,QTL,Quart, US liquid ( qt US )
VOLUME,Volume,GLL,GLL,US gallon ( gal US )
VPROPO,Volume proportion,KMK,X02,Cubic meter/Cubic meter ( m3/m3 )
VPROPO,Volume proportion,MLK,MLK,Milliliter/cubic meter ( ml/m3 )
VPROPO,Volume proportion,V%,PV,Percent volume ( %(V) )
VPROPO,Volume proportion,V%O,VPO,Permille volume ( %O(V) )
VPROPO,Volume proportion,VPB,VPB,Volume parts per billion ( ppb(V) )
VPROPO,Volume proportion,VPM,VPM,Volume parts per million ( ppm(V) )
VPROPO,Volume proportion,VPT,VPT,Volume parts per trillion ( ppt(V) )
VOLFLO,Volume rate of flow,C3S,2J,Cubic centimeter/second ( cm3/s )
VOLFLO,Volume rate of flow,MQH,MQH,Cubic meter/Hour ( m3/h )
VOLFLO,Volume rate of flow,M3D,G52,Cubic meter/day ( m3/d )
VOLFLO,Volume rate of flow,M3S,MQS,Cubic meter/second ( m3/s )
VOLFLO,Volume rate of flow,GPH,G50,Gallons per hour (US) ( GPH US )
VOLFLO,Volume rate of flow,LPH,LPH,Liter per hour ( L/hr )
VOLFLO,Volume rate of flow,L2,L2,Liter/Minute ( l/min )
